epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1102,1.78588,3.80316,1.31498,0.60111,0.33601,0.39064,0.25709,1.64944,2.57011,1.29462,0.000414894,0.000414894,0.000414894
2,144.595,1.70891,2.42374,1.23987,0.4228,0.4778,0.42396,0.25172,1.70656,2.19889,1.38343,0.000815095,0.000815095,0.000815095
3,213.607,1.69378,2.0078,1.24877,0.49827,0.44887,0.44221,0.26594,1.6739,1.80253,1.34961,0.0011988,0.0011988,0.0011988
4,282.548,1.69061,1.8285,1.23665,0.65613,0.45883,0.5229,0.33218,1.56856,1.54525,1.27362,0.00117575,0.00117575,0.00117575
5,352.809,1.64825,1.68613,1.2218,0.66282,0.54396,0.54601,0.3324,1.53146,1.6812,1.24743,0.001151,0.001151,0.001151
6,421.777,1.58502,1.57976,1.19239,0.63069,0.4835,0.52165,0.33169,1.46194,1.81684,1.20959,0.00112625,0.00112625,0.00112625
7,489.767,1.56257,1.52891,1.17206,0.75672,0.49587,0.59119,0.3726,1.48962,1.43699,1.22815,0.0011015,0.0011015,0.0011015
8,559.051,1.52506,1.45807,1.16221,0.42977,0.6219,0.58535,0.3675,1.50674,1.53619,1.21786,0.00107675,0.00107675,0.00107675
9,627.493,1.50681,1.46123,1.15942,0.64554,0.62814,0.65746,0.40836,1.44636,1.33095,1.20989,0.001052,0.001052,0.001052
10,696.197,1.48015,1.38668,1.1443,0.77932,0.51297,0.63986,0.4083,1.40558,1.36425,1.17275,0.00102725,0.00102725,0.00102725
11,765.693,1.47392,1.32986,1.14107,0.85422,0.51913,0.66364,0.42689,1.41521,1.315,1.16796,0.0010025,0.0010025,0.0010025
12,834.426,1.45711,1.31131,1.12945,0.76066,0.55854,0.66964,0.42974,1.38884,1.33206,1.17137,0.00097775,0.00097775,0.00097775
13,904.14,1.41627,1.24672,1.11047,0.59107,0.68576,0.68122,0.44577,1.3577,1.22599,1.15114,0.000953,0.000953,0.000953
14,974.937,1.41268,1.23875,1.11216,0.76087,0.5648,0.70412,0.44531,1.40944,1.25267,1.16822,0.00092825,0.00092825,0.00092825
15,1043.98,1.39584,1.19452,1.09902,0.55891,0.69044,0.6719,0.41491,1.41179,1.3213,1.16965,0.0009035,0.0009035,0.0009035
16,1111.9,1.38484,1.19018,1.10156,0.57134,0.72081,0.71907,0.44031,1.39517,1.23176,1.14747,0.00087875,0.00087875,0.00087875
17,1181.9,1.35293,1.12693,1.0884,0.66471,0.72602,0.75803,0.4974,1.31891,1.11889,1.12661,0.000854,0.000854,0.000854
18,1252.18,1.34733,1.12681,1.08655,0.5993,0.71174,0.72668,0.46766,1.32841,1.1562,1.1344,0.00082925,0.00082925,0.00082925
19,1320.68,1.35575,1.13504,1.08952,0.69794,0.70362,0.74761,0.48889,1.30731,1.1086,1.12679,0.0008045,0.0008045,0.0008045
20,1389.32,1.33572,1.08808,1.08089,0.60522,0.78013,0.77745,0.50166,1.29099,1.08726,1.11822,0.00077975,0.00077975,0.00077975
21,1458.95,1.31534,1.06478,1.0758,0.61028,0.70589,0.75433,0.48794,1.30098,1.09989,1.11566,0.000755,0.000755,0.000755
22,1528.09,1.30989,1.06243,1.06443,0.62945,0.74412,0.78082,0.51443,1.29186,1.06046,1.11574,0.00073025,0.00073025,0.00073025
23,1597.32,1.29473,1.02217,1.05904,0.64637,0.72954,0.75564,0.5102,1.27646,1.09461,1.10624,0.0007055,0.0007055,0.0007055
24,1666.84,1.29682,1.02789,1.06713,0.7062,0.76028,0.77559,0.5228,1.27162,0.99114,1.10485,0.00068075,0.00068075,0.00068075
25,1735.89,1.28446,1.01021,1.05745,0.74211,0.73911,0.78818,0.52864,1.26404,0.99555,1.09967,0.000656,0.000656,0.000656
26,1805.27,1.2724,0.98711,1.06037,0.69229,0.76264,0.80167,0.53022,1.25789,0.98899,1.09431,0.00063125,0.00063125,0.00063125
27,1874.56,1.24884,0.98374,1.04883,0.67345,0.78547,0.80623,0.53529,1.24591,1.00192,1.08449,0.0006065,0.0006065,0.0006065
28,1945.76,1.2485,0.96731,1.04414,0.67194,0.78775,0.8312,0.551,1.23685,0.97714,1.07995,0.00058175,0.00058175,0.00058175
29,2014.42,1.23708,0.92422,1.03441,0.73968,0.77605,0.81475,0.54659,1.24341,0.94084,1.09287,0.000557,0.000557,0.000557
30,2083.01,1.22875,0.9344,1.0368,0.77137,0.77202,0.83022,0.55513,1.22952,0.94331,1.08002,0.00053225,0.00053225,0.00053225
31,2153.34,1.21297,0.89261,1.02435,0.73946,0.79826,0.82555,0.55399,1.19244,0.92218,1.07393,0.0005075,0.0005075,0.0005075
32,2221.81,1.22174,0.91197,1.03385,0.78625,0.75903,0.83716,0.56693,1.21016,0.88087,1.07021,0.00048275,0.00048275,0.00048275
33,2290.65,1.1839,0.87741,1.01652,0.80486,0.77791,0.84107,0.57061,1.21953,0.86078,1.0773,0.000458,0.000458,0.000458
34,2359.68,1.17224,0.85849,1.01844,0.73357,0.81752,0.8437,0.56847,1.18343,0.89244,1.06286,0.00043325,0.00043325,0.00043325
35,2430.22,1.17336,0.85948,1.0152,0.75606,0.82895,0.85976,0.5851,1.18072,0.84912,1.05902,0.0004085,0.0004085,0.0004085
36,2499.24,1.16434,0.85413,1.01314,0.74816,0.8031,0.84372,0.58329,1.15333,0.87185,1.05278,0.00038375,0.00038375,0.00038375
37,2568.08,1.14151,0.80551,1.00518,0.7533,0.79668,0.83749,0.56969,1.17453,0.8772,1.05242,0.000359,0.000359,0.000359
38,2637.89,1.16165,0.83228,1.00621,0.75617,0.83649,0.86296,0.59083,1.1609,0.82356,1.05262,0.00033425,0.00033425,0.00033425
39,2707.87,1.13812,0.80793,1.00582,0.7811,0.81279,0.85865,0.59175,1.13486,0.82154,1.03741,0.0003095,0.0003095,0.0003095
40,2777.11,1.11627,0.78493,0.99344,0.78049,0.79936,0.86205,0.59086,1.13366,0.83733,1.04184,0.00028475,0.00028475,0.00028475
41,2845.75,1.09829,0.74068,1.00809,0.82695,0.80534,0.86722,0.60391,1.1206,0.79903,1.03305,0.00026,0.00026,0.00026
42,2911.99,1.07544,0.71007,0.99997,0.80605,0.82893,0.86947,0.61461,1.11568,0.77886,1.03372,0.00023525,0.00023525,0.00023525
43,2977.41,1.06072,0.70364,0.99636,0.83555,0.81023,0.87502,0.61597,1.10397,0.77689,1.03198,0.0002105,0.0002105,0.0002105
44,3042.84,1.03812,0.67624,0.98572,0.86196,0.81401,0.89038,0.62379,1.09567,0.75261,1.02713,0.00018575,0.00018575,0.00018575
45,3108.49,1.02417,0.66289,0.98144,0.84007,0.82485,0.88755,0.62793,1.08894,0.74345,1.02347,0.000161,0.000161,0.000161
46,3174.54,1.01743,0.66023,0.97446,0.85213,0.8122,0.88166,0.62763,1.07653,0.75119,1.01759,0.00013625,0.00013625,0.00013625
47,3239.79,0.99435,0.66125,0.97421,0.85784,0.80461,0.88502,0.64108,1.0603,0.73549,1.00935,0.0001115,0.0001115,0.0001115
48,3305.7,0.98396,0.63555,0.9669,0.83562,0.82881,0.88913,0.63896,1.05635,0.73097,1.00907,8.675e-05,8.675e-05,8.675e-05
49,3371.87,0.986,0.63171,0.96559,0.84624,0.82049,0.88501,0.64555,1.04224,0.71496,1.00515,6.2e-05,6.2e-05,6.2e-05
50,3438.45,0.97448,0.63278,0.96425,0.85169,0.81831,0.88597,0.64513,1.04068,0.71369,1.00374,3.725e-05,3.725e-05,3.725e-05
